59,A History of Violence,https://image.tmdb.org/t/p/original/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,"['Drama', 'Thriller', 'Crime']",32000000,60740827,23-09-2005,96,Tom Stall had the perfect life... until he became a hero.,Released,https://www.imdb.com/title/tt0399146,"['New Line Cinema', 'DC Comics', 'BenderSpink']",7.1,1431,https://image.tmdb.org/t/p/original/8rbvmhGmUqEjLmo2mDycTazEaAc.jpg
65,8 Mile,https://image.tmdb.org/t/p/original/dXzTrKwpbLpCqn8O70FUUhNbYQT.jpg,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.","['Drama', 'Music']",41000000,242875078,08-11-2002,110,Every moment is another chance.,Released,https://www.imdb.com/title/tt0298203,"['Mikona Productions GmbH & Co. KG', 'Imagine Entertainment']",7,3229,https://image.tmdb.org/t/p/original/jq4dyVYsCGQRTXKDLoqZwg4tbIr.jpg
67,Paradise Now,https://image.tmdb.org/t/p/original/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,"From the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel, this is the first film to deal with the subject of suicide bombers.","['Thriller', 'Crime', 'Drama']",0,3357075,14-02-2005,90,"From the most unexpected place, come a  new call for peace",Released,https://www.imdb.com/title/tt0445620,"['Eurimages', 'Lama Films', 'Augustus Film', 'Lama Productions', 'Lumer Films', 'Hazazah Film', 'Filmstiftung Nordrhein-Westfalen', 'Razor Film Produktion GmbH', 'Nederlands Fonds voor de Film', 'Medienboard Berlin-Brandenburg', 'ARTE France Cinéma']",6.9,106,https://image.tmdb.org/t/p/original/lz1iJlKRBMtE6uHauUneX7THa0c.jpg
69,Walk the Line,https://image.tmdb.org/t/p/original/wdxL3Zyh3O5MIbmsSiZEevJAjtQ.jpg,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.","['Drama', 'Music', 'Romance']",28000000,186438883,13-09-2005,136,Love is a burning thing.,Released,https://www.imdb.com/title/tt0358273,"['Mars Media Beteiligungs', 'Tree Line Films', 'Konrad Pictures', 'Catfish Productions', 'Fox 2000 Pictures']",7.4,1268,https://image.tmdb.org/t/p/original/iL484fDDFtszNVmYKBFmPP57wEA.jpg
70,Million Dollar Baby,https://image.tmdb.org/t/p/original/h4VZKi2Jt4VoBYJmtC4c3bO8KqM.jpg,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",['Drama'],30000000,216763646,15-12-2004,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Released,https://www.imdb.com/title/tt0405159,"['Lakeshore Entertainment', 'Malpaso Productions', 'Epsilon Motion Pictures', 'Albert S. Ruddy Productions', 'Warner Bros. Pictures']",7.9,4636,https://image.tmdb.org/t/p/original/7nGW4MhYQ7sJfp482XkrgqPYQ2S.jpg
71,Billy Elliot,https://image.tmdb.org/t/p/original/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg,"Set against the background of the 1984 Miner's Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.","['Drama', 'Comedy', 'Music']",5000000,109280263,18-05-2000,110,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Released,https://www.imdb.com/title/tt0249462,"['StudioCanal', 'BBC Films', 'Tiger Aspect Productions', 'Arts Council of England', 'Working Title Films', 'WT2 Productions']",7.6,1793,https://image.tmdb.org/t/p/original/vlnhKUvu335ZM8wSD27MaFHpNu2.jpg
74,War of the Worlds,https://image.tmdb.org/t/p/original/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","['Adventure', 'Thriller', 'Science Fiction']",132000000,591739379,28-06-2005,116,They're already here.,Released,https://www.imdb.com/title/tt0407304,"['Paramount', 'Amblin Entertainment', 'Cruise/Wagner Productions', 'DreamWorks']",6.3,4216,https://image.tmdb.org/t/p/original/bwTb66gicrB7HbkogwNs9V37Ddb.jpg
77,Memento,https://image.tmdb.org/t/p/original/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","['Mystery', 'Thriller']",9000000,39723096,11-10-2000,113,Some memories are best forgotten.,Released,https://www.imdb.com/title/tt0209144,"['Summit Entertainment', 'Newmarket Capital Group', 'Team Todd', 'I Remember Productions']",8.2,7505,https://image.tmdb.org/t/p/original/puuwLLytKjZuv73SFqBihd6X5ES.jpg
80,Before Sunset,https://image.tmdb.org/t/p/original/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,"['Drama', 'Romance']",2700000,15992615,10-02-2004,80,What if you had a second chance with the one that got away?,Released,https://www.imdb.com/title/tt0381681,"['Warner Independent Pictures (WIP)', 'Castle Rock Entertainment', 'Detour Film Production']",7.7,1323,https://image.tmdb.org/t/p/original/8LreGAwWHDrIBv92Ec987F6d24p.jpg
82,Miami Vice,https://image.tmdb.org/t/p/original/3BsNsigWcET4tKLZZhJegw7eOjF.jpg,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,"['Action', 'Adventure', 'Crime', 'Thriller']",135000000,163794509,27-07-2006,132,No Law. No Rules. No Order.,Released,https://www.imdb.com/title/tt0430357,"['Metropolis Films', 'Universal Pictures', 'Forward Pass', 'Motion Picture ETA Produktionsgesellschaft', 'Foqus Arte Digital']",5.9,802,https://image.tmdb.org/t/p/original/bJjuO0dwL1SYTrjc1VAJYlX5qY2.jpg
